Start Date;End Date;Response Type;IP Address;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Recipient Last Name;Recipient First Name;Recipient Email;External Data Reference;Location Latitude;Location Longitude;Distribution Channel;User Language;Q_RecaptchaScore;If you consent to participate in the study, please enter your Worker ID:;Q11 - How would you rate your current energy level?;Q11 - How would you rate your current mood?;How interested would you be in receiving the text message you just saw? Choose a rating from 1 (not at all interested) to 7 (extremely interested).;Do you have any feedback on this text? What works well, what could be improved?;Gender identity: how do you describe yourself? - Selected Choice;Gender identity: how do you describe yourself? - Prefer to self-describe gender (describe below) - Text;Assigned sex at birth: What sex were you assigned at birth, on your original birth certificate?;What is your race?;What is your age?;Please let us know if you faced any problems while going through this survey.;arm
22/09/21 09:45;22/09/21 09:46;IP Address;68.251.38.141;100;67;True;22/09/21 09:46;R_1MWDH7Ie5Marm3F;;;;;276.410.980.224.609.000;-8.047.820.281.982.420.000;anonymous;EN;1;A12IHTKQFQIPD1;High;High;3;none;Male;;Male;White;37;;5
22/09/21 09:45;22/09/21 09:46;IP Address;99.50.123.94;100;65;True;22/09/21 09:46;R_3qeuqPLBjeWTQV4;;;;;29.295.501.708.984.300;-9.479.599.761.962.890.000;anonymous;EN;1;A3QBWHBV4JSN7W;High;High;5;good;Male;;Male;African American;34;nothing;5
22/09/21 09:46;22/09/21 09:47;IP Address;50.231.89.215;100;59;True;22/09/21 09:47;R_2CEfgWCxfM8eoMc;;;;;299.761.962.890.625;-9.564.009.857.177.730.000;anonymous;EN;1;A2N9CAUS69SDHZ;High;High;5;"Clarify your ""come from."" ... Identify the facts. ... Move the person forward. ... Build accountability.";Female;;Female;White;48;GOOD;6
22/09/21 09:45;22/09/21 09:47;IP Address;73.18.16.208;100;94;True;22/09/21 09:47;R_ysgxbO3ULNN8U0x;;;;;427.263.946.533.203.000;-831.598.968.505.859.000;anonymous;EN;0.89999997615814208984375;A77K8W55MJEKX;High;High;6;the text promotes positive thinking and sounds encouraging;Female;;Female;Asian;49;;5
22/09/21 09:46;22/09/21 09:47;IP Address;157.51.0.225;100;75;True;22/09/21 09:47;R_8iEpE1hGNvEDXEJ;;;;;1.289.959.716.796.870;8.022.088.623.046.870;anonymous;EN;0.89999997615814208984375;ABOHRGENM4T6T;High;High;7;good;Male;;Male;African American;30;satisfied;5
22/09/21 09:46;22/09/21 09:47;IP Address;104.131.28.195;100;65;True;22/09/21 09:47;R_0cacAd4y9fGVD6F;;;;;40.836.395.263.671.800;-7.414.029.693.603.510.000;anonymous;EN;1;A3QNM5JKLV4MRE;High;High;6;good;Male;;Male;White;30;none;6
22/09/21 09:45;22/09/21 09:47;IP Address;47.203.18.116;100;94;True;22/09/21 09:47;R_1jNiBOf8Gppz7zf;;;;;2.789.300.537.109.370;-825.074.005.126.953.000;anonymous;EN;1;A2QTL039A5VV3I;High;High;4;Some people do need reminders about being clean.;Male;;Male;More than one race;30;;6
22/09/21 09:45;22/09/21 09:47;IP Address;196.17.65.167;100;136;True;22/09/21 09:47;R_R2cmPKzqOGFo2ul;;;;;340.543.975.830.078.000;-1.182.440.948.486.320.000;anonymous;EN;1;A1K63DWVK9EM69;High;High;7;very nice;Male;;Male;White;34;no;6
22/09/21 09:45;22/09/21 09:47;IP Address;70.121.186.12;100;150;True;22/09/21 09:47;R_2xStmcnO75Yma0c;;;;;295.825.958.251.953.000;-984.091.033.935.546.000;anonymous;EN;0.89999997615814208984375;A2RVFMCKSSEHDV;High;High;3;Just feel like it's not suited towards me. More suited to someone with severe depression.;Male;;Male;White;28;None;6
22/09/21 09:46;22/09/21 09:47;IP Address;154.22.58.28;100;94;True;22/09/21 09:47;R_2qadThpIxzAR42T;;;;;37.751.007.080.078.100;-9.782.199.859.619.140.000;anonymous;EN;1;A3TF6QVCGBL2I8;High;High;6;NICE;Female;;Male;White;48;NOTHING;5
22/09/21 09:46;22/09/21 09:47;IP Address;208.203.212.20;100;102;True;22/09/21 09:47;R_1gMdyewr7er1ilw;;;;;3.917.529.296.875;-7.719.460.296.630.850.000;anonymous;EN;0.89999997615814208984375;A3W3PV6XZ6RZ9N;High;High;7;I clean my teeth for whitening and I clean my hair for smooth and silk.;Male;;Male;White;46;nothing problem;6
22/09/21 09:45;22/09/21 09:48;IP Address;23.177.176.31;100;150;True;22/09/21 09:48;R_pEHfhTg2eEMxhQt;;;;;375.731.048.583.984.000;-12.205.390.167.236.300.000;anonymous;EN;0.89999997615814208984375;A1QFLCF85JZMNU;High;High;4;hard work and clarity;Female;;Female;White;53;no;6
22/09/21 09:46;22/09/21 09:48;IP Address;174.74.193.156;100;104;True;22/09/21 09:48;R_3lVPPIaGShRBXBb;;;;;336.067.962.646.484.000;-11.222.789.764.404.200.000;anonymous;EN;1;A2XQ3CFB5HT2ZQ;High;High;5;Maybe a little shorter. Otherwise seems good.;Female;;Female;White;58;;5
22/09/21 09:46;22/09/21 09:48;IP Address;174.110.240.220;100;83;True;22/09/21 09:48;R_2y7ONFhVLvGJ0dy;;;;;349.541.015.625;-78.739.501.953.125;anonymous;EN;1;AV5FCKI1TTSKR;High;High;6;If there were a way to personalize messaging based on data collected beforehand or through use over time.;Male;;Male;African American;47;;5
22/09/21 09:45;22/09/21 09:48;IP Address;76.16.94.12;100;172;True;22/09/21 09:48;R_1F3Zak5WJwg9Opz;;;;;412.816.925.048.828.000;-8.585.410.308.837.890.000;anonymous;EN;1;A2ROP5E1IBEYJE;High;High;7;Super;Male;;Male;African American;41;no;6
22/09/21 09:46;22/09/21 09:48;IP Address;147.124.215.167;100;136;True;22/09/21 09:48;R_3FV5jfkTiqq2ydZ;;;;;32.776.702.880.859.300;-9.680.500.030.517.570.000;anonymous;EN;0.800000011920928955078125;A39Z681C4CJS3Q;High;High;6;good;Male;;Male;African American;50;A39Z681C4CJS3Q;5
22/09/21 09:45;22/09/21 09:48;IP Address;208.195.20.92;100;158;True;22/09/21 09:48;R_3KC5DN3p2FEt0kc;;;;;37.751.007.080.078.100;-9.782.199.859.619.140.000;anonymous;EN;0.89999997615814208984375;A2ZYX5KPG0YXSA;High;High;6;NOTHING.;Male;;Male;White;41;YES, I HAVE NICE TIME.;5
22/09/21 09:45;22/09/21 09:48;IP Address;154.22.58.66;100;200;True;22/09/21 09:48;R_1jkbQ8fEQxUyzCr;;;;;37.751.007.080.078.100;-9.782.199.859.619.140.000;anonymous;EN;1;AM1SVKG1754Z9;High;High;5;NO FEEDBACK;Male;;Male;White;48;GOOD;6
22/09/21 09:47;22/09/21 09:48;IP Address;63.75.240.79;100;62;True;22/09/21 09:48;R_12o2rhJvUVkNle0;;;;;37.751.007.080.078.100;-9.782.199.859.619.140.000;anonymous;EN;0.89999997615814208984375;A3T03P9HCULC2S;High;High;5;NICE;Female;;Female;White;50;GOOD;6
22/09/21 09:45;22/09/21 09:48;IP Address;216.250.251.135;100;209;True;22/09/21 09:48;R_3r0Za05RH2BPE4B;;;;;454.817.047.119.140.000;-1.224.156.036.376.950.000;anonymous;EN;0.699999988079071044921875;A1T8BL3X9ELN4C;High;High;6;nothing;Male;;Male;White;40;no;5
22/09/21 09:47;22/09/21 09:49;IP Address;75.136.158.24;100;118;True;22/09/21 09:49;R_26o2y0I0YvaKG6G;;;;;345.251.007.080.078.000;-8.263.069.915.771.480.000;anonymous;EN;;A11W7R2O4RQSSS;High;High;6;;Female;;Female;White;26;;6
22/09/21 09:45;22/09/21 09:49;IP Address;68.32.62.151;100;248;True;22/09/21 09:49;R_20Y8BV3QvP2rI9F;;;;;42.644.195.556.640.600;-8.289.849.853.515.620;anonymous;EN;1;A19OCD2Q0K2U6M;High;High;5;;Male;;Male;White;58;;5
22/09/21 09:46;22/09/21 09:49;IP Address;74.193.11.50;100;157;True;22/09/21 09:49;R_1nPeHgyX795fsUq;;;;;30.438.995.361.328.100;-9.553.839.874.267.570.000;anonymous;EN;0.89999997615814208984375;ABO9F0JD9NN54;High;High;5;put a timer so you know when 15-30 seconds has gone by;Female;;Female;White;35;;6
22/09/21 09:46;22/09/21 09:49;IP Address;207.228.60.140;100;172;True;22/09/21 09:49;R_1NwhQoNLYPhFLE0;;;;;298.477.935.791.015.000;-956.598.968.505.859.000;anonymous;EN;1;A36BETX5G9BSZ2;High;High;5;Improve your time management.  Try to do important tasks first. Set clear goals.;Male;;Male;White;32;no;6
22/09/21 09:48;22/09/21 09:49;IP Address;50.231.89.131;100;56;True;22/09/21 09:49;R_1dLE54urpVVFWYJ;;;;;299.761.962.890.625;-9.564.009.857.177.730.000;anonymous;EN;0.89999997615814208984375;ASLYILSRRKWZV;High;High;6;its very good one;Male;;Male;White;34;ASLYILSRRKWZV;6
22/09/21 09:47;22/09/21 09:49;IP Address;147.124.215.166;100;110;True;22/09/21 09:49;R_1ff8Pixg6Z8RCq2;;;;;32.776.702.880.859.300;-9.680.500.030.517.570.000;anonymous;EN;0.89999997615814208984375;A12RN5YW7YBV5Z;High;High;6;GOOD ;Male;;Male;African American;35;NO ;5
22/09/21 09:46;22/09/21 09:49;IP Address;154.13.48.65;100;178;True;22/09/21 09:49;R_2zNmvWzC1jPp4Vl;;;;;40.694.000.244.140.600;-739.900.970.458.984.000;anonymous;EN;0.89999997615814208984375;ATCU8XJBX3GUG;High;High;7;INTERESTING MOOD AND IMPROVING KNOWLEDGE;Female;;Female;White;25;NOTHING;6
22/09/21 09:47;22/09/21 09:49;IP Address;37.163.43.110;100;139;True;22/09/21 09:49;R_3PNRxSvzYAxwSuw;;;;;431.479.034.423.828.000;121.096.954.345.703.000;anonymous;EN;1;A243MPGSWX1HPB;High;High;6;Maybe the text it's too enthusiastic and looks fake.;Female;;Female;White;26;;5
22/09/21 09:45;22/09/21 09:49;IP Address;73.186.65.43;100;249;True;22/09/21 09:49;R_2zApiK1fdlTviLa;;;;;42.982.696.533.203.100;-7.094.719.696.044.920.000;anonymous;EN;1;A2N1OLOMSG235U;High;High;7;My work is very improved and very interesting.;Female;;Female;White;35;YES.;5
22/09/21 09:48;22/09/21 09:50;IP Address;23.177.176.30;100;125;True;22/09/21 09:50;R_ykeI6IXsD1JjEoF;;;;;375.731.048.583.984.000;-12.205.390.167.236.300.000;anonymous;EN;0.89999997615814208984375;A1IZML127HL0W1;High;High;7;good;Male;;Male;White;31;not at all faced any problem ;5
22/09/21 09:46;22/09/21 09:50;IP Address;47.14.177.161;100;258;True;22/09/21 09:50;R_1hEZIagkAJjOWrA;;;;;422.917.022.705.078.000;-71.785.797.119.140.600;anonymous;EN;1;A3OROOE3DK6OZI;High;High;7;Yeah, All of works keep well.;Male;;Male;African American;35;;5
22/09/21 09:46;22/09/21 09:50;IP Address;157.33.19.224;100;285;True;22/09/21 09:50;R_3MrsAh1B95QptWz;;;;;1.897.210.693.359.370;728.246.002.197.265.000;anonymous;EN;0.89999997615814208984375;A14BSOU2Y5JNT0;High;High;6;A trivia fact about the teeth or hair will be a good add on.;Male;;Male;Asian;26;;6
22/09/21 09:47;22/09/21 09:51;IP Address;73.171.208.33;100;188;True;22/09/21 09:51;R_2fjkCm0CciFCgQ9;;;;;302.801.055.908.203.000;-8.141.649.627.685.540.000;anonymous;EN;1;A1YUCN3QUW81KU;High;High;6;very interesting ;Female;;Female;White;25;no;5
22/09/21 09:49;22/09/21 09:51;IP Address;147.124.215.167;100;127;True;22/09/21 09:51;R_3L1FRBdQTvtoyu3;;;;;32.776.702.880.859.300;-9.680.500.030.517.570.000;anonymous;EN;0.800000011920928955078125;A39Z681C4CJS3Q;High;High;6;nothing;Male;;Male;African American;50;nothing;5
22/09/21 09:50;22/09/21 09:51;IP Address;136.175.192.25;100;72;True;22/09/21 09:51;R_3iUWCS6aORO2Bhd;;;;;36.837.493.896.484.300;-7.609.760.284.423.820.000;anonymous;EN;0.800000011920928955078125;AYAQN9FSXO4QM;High;High;5;nice;Female;;Male;White;48;nothing;6
22/09/21 09:49;22/09/21 09:51;IP Address;184.105.109.194;100;112;True;22/09/21 09:51;R_1LhgrHBQsjjhwoU;;;;;375.625;-122.000.396.728.515.000;anonymous;EN;;A1XA2WZVXTTLOI;High;High;6;NA;Male;;Male;Asian;25;NA;5
22/09/21 09:45;22/09/21 09:51;IP Address;47.17.197.126;100;385;True;22/09/21 09:51;R_1GBQhbhC4fgZPlp;;;;;408.621.978.759.765.000;-7.389.019.775.390.620;anonymous;EN;1;A2J3ZZJY9QP0ET;High;High;5;;Female;;Female;White;31;;5
22/09/21 09:45;22/09/21 09:51;IP Address;196.17.66.18;100;356;True;22/09/21 09:51;R_1kXfCJMGbj2JmjV;;;;;340.543.975.830.078.000;-1.182.440.948.486.320.000;anonymous;EN;;A10NXSR0I4S8JW;High;High;6;we didn't brush the hair and otherwise it will be good. and it improves the whole mood fresh.;Female;;Female;White;60;no problem it was good;6
22/09/21 09:45;22/09/21 09:51;IP Address;173.89.105.62;100;371;True;22/09/21 09:51;R_AGJibOlNvwOCh45;;;;;415.146.026.611.328.000;-829.391.021.728.515.000;anonymous;EN;1;A1XMKV272H9NSI;High;High;6;I like;Male;;Male;African American;40;No;5
